date,uri,hdUri,thumbUri,aspectRatio,aspectRatioThumb,blurHash,blurHashThumb
1995-07-17,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-17.jpg,https://apod.nasa.gov/apod/image/barsoom.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-17.jpg,0.76,1.78,"TGA,8c0i59?DNHE45U=^RkE3xs$~",LbC=#359I?};%JRkNI%0W;smRlba
1995-07-18,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-18.jpg,https://apod.nasa.gov/apod/image/CygnusLoop_hst.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-18.jpg,1.99,1.78,"L89G,L1HIUogojWEM_$%0P={SuRi",L99Z=h1HnNI[ojR-M_%00P={J5xC
1995-07-19,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-19.jpg,https://apod.nasa.gov/apod/image/olympus.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-19.jpg,1.44,1.78,LQFYV=0M-pRjt6ofRkof%LjsM|of,LRF5vx0M-:RjxZofRjofxuayRjof
1995-07-20,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-20.jpg,https://apod.nasa.gov/apod/image/grandcanal.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-20.jpg,2.59,1.78,LMH^^NR-I=%0~AWWjts.xts.R*ay,"LMIX4,IroJa}~AR+oJs.%1s.NIs."
1995-07-21,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-21.jpg,https://apod.nasa.gov/apod/image/marslander.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-21.jpg,2.9,1.78,LLE{I2Xn9$k9~Rfkj=WXM^a0nMV@,LLF#?LXUE2M{~RjYoIRjNGn$j?oL
1995-07-22,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-22.jpg,https://apod.nasa.gov/apod/image/marsface.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-22.jpg,1.21,1.78,KJCi]w~qxu%MxuRjD%IUay,LPDS%f~qxu4n%MxuayRjM{Rjofof
1995-07-23,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-23.jpg,https://apod.nasa.gov/apod/image/m20_moo.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-23.jpg,0.86,1.78,"K9AI=vs90],EsqJ6A9R%$,",LDBC4rxG0]J5=gw}I-NEX9WAjEoN
1995-07-24,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-24.jpg,https://apod.nasa.gov/apod/image/andromeda_moo.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-24.jpg,1.51,1.78,LMATZuRP4-ozV@tRayV@0Joz?bV@,"LNA,tiRP4nozV@xvaeRi0Joz?bV@"
1995-07-25,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-25.jpg,https://apod.nasa.gov/apod/image/crab_moo.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-25.jpg,0.91,1.78,KF8:C+j@0{WVR*oL5Pay=z,LRBeasj?0{WVWVR*jaxGNGayxaoL
1995-07-26,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-26.jpg,https://apod.nasa.gov/apod/image/m15_moo.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-26.jpg,1.1,1.78,K76Q*ss;0dR*j[of0eR*^k,LB7dILs:0eNGR*azs:j[9ZWB=|s:
1995-07-27,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-27.jpg,https://apod.nasa.gov/apod/image/ring_moo.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-27.jpg,0.93,1.78,"KD7x5ltRDOayWVay8wRjt,",LJ9*ANxuD4RPaeR*WVxuVYWBNZba
