date,uri
2020-07-13,https://www.youtube.com/embed/ts0Ek3nLHew?rel=0
2020-07-19,https://www.youtube.com/embed/sNUNB6CMnE8?rel=0
2020-07-26,https://www.youtube.com/embed/PDMp8a-YNe0?rel=0
2020-08-05,https://www.youtube.com/embed/X_UOLpUDwpU?rel=0
2020-08-19,https://www.youtube.com/embed/2WRgXvdasm0
2020-08-25,https://www.youtube.com/embed/l36UkYtq6m0?rel=0
2020-08-31,https://www.youtube.com/embed/ld-bG1CjkZY?rel=0
2020-09-01,https://www.youtube.com/embed/ALaOGmu1S0I?rel=0
2020-09-12,https://player.vimeo.com/video/438799770
2020-09-29,https://www.youtube.com/embed/ictZttw3c98?rel=0
2020-09-30,https://www.youtube.com/embed/DzrCEm1ZBRY?rel=0
2020-10-12,https://www.youtube.com/embed/fbEcHDfi-vM?rel=0
2020-10-19,https://www.youtube.com/embed/xh3EKDghbuU
2020-11-03,https://www.youtube.com/embed/F6Tkb8syTK8?rel=0
2020-12-09,https://www.youtube.com/embed/Eenw0p14ZrM?rel=0
2020-12-14,https://www.youtube.com/embed/NuLuCeawQSo?rel=0
2020-12-16,https://www.youtube.com/embed/sau5-39wK1c?rel=0
2020-12-29,https://www.youtube.com/embed/4Kkd2k0pDsI?rel=0
2020-12-30,https://www.youtube.com/embed/aokGqxVdpz0?rel=0
2021-01-04,https://www.youtube.com/embed/zS_XgF9i8tc?rel=0
2021-01-11,https://www.youtube.com/embed/8XV2-pmiyAg?rel=0
2021-02-03,https://www.youtube.com/embed/V0UBZh6Hf-s?rel=0
2021-02-09,https://www.youtube.com/embed/4on-e614tag?rel=0
2021-02-15,https://www.youtube.com/embed/Ki_Af_o9Q9s?rel=0
2021-02-16,https://www.youtube.com/embed/M4tdMR5HLtg?rel=0
2021-02-23,https://www.youtube.com/embed/4czjS9h4Fpg?rel=0
2021-03-09,https://mars.nasa.gov/layout/embed/image/mars-panorama/?id=25674
2021-03-15,https://www.youtube.com/embed/WJua8eXLX9o?rel=0
2021-04-01,https://www.youtube.com/embed/B1R3dTdcpSU?rel=0
